article_pubyear,member,n_items
2014,911,2
2019,3215,1
2020,3215,1
2012,3210,1
2020,3151,2
2020,4948,2
2019,8469,2
2020,24700,1
2018,24700,4
2015,9021,3
2014,3948,3
2013,3948,1
2014,8908,1
2017,8396,1
2012,1952,1
2015,171,1
2019,171,1
2016,108,1
2015,2580,2
2013,2573,1
2013,5072,1
2014,5072,1
2015,26169,1
2013,121,1
2018,121,2
2017,9266,1
2020,7151,1
2020,9271,1
2020,9293,1
2017,6626,1
2016,533,2
2016,3882,1
2020,3882,1
2020,6616,1
2016,3904,4
2019,102,2
2012,3249,2
2017,102,1
2016,7446,1
2012,3322,1
2019,7447,1
2020,11540,1
2016,14905,1
2019,16240,1
2017,2271,1
2020,11101,1
2017,11128,2
2013,8939,3
2014,8939,1
2018,793,3
2019,4946,1
2018,1645,3
2013,2718,3
2020,11530,2
2020,11553,1
2019,11145,1
2020,2544,1
2012,21576,1
2017,6609,2
2017,6713,1
2017,18616,1
2014,4372,1
2018,4372,1
2017,1913,3
2017,2643,5
2013,4421,1
2018,4421,1
2017,2954,1
2018,2954,1
2016,2632,2
2014,3613,2
2017,3613,1
2019,3613,2
2013,2613,1
2019,8849,2
2016,2998,1
2016,5351,1
2012,3641,1
2017,3008,1
2020,352,1
2014,8735,1
2018,996,2
2020,3578,1
2018,2997,2
2017,16727,1
2018,23032,1
2019,23032,1
2020,8421,2
2019,3621,1
2019,23383,1
2014,16399,3
2015,4870,1
2017,14744,1
2016,17149,1
2018,14664,1
2012,2297,1
2014,5263,1
2018,18684,1
2018,5262,2
2015,17418,2
2018,2248,1
2014,5288,1
2018,7620,1
2019,7620,3
2018,7659,2
2018,4070,1
2015,7717,1
2015,438,1
2016,6686,1
2019,7950,1
2020,6788,1
2013,3449,1
2014,2321,1
2015,2321,3
2017,10411,4
2018,3424,2
2019,23082,1
2020,10355,3
2017,10308,1
2019,3352,2
2014,3542,1
2017,3542,2
2016,3554,6
2013,3819,2
2018,11423,1
2019,10762,2
2018,1149,1
2019,10754,1
2020,10769,1
2019,5241,1
2018,230,5
2014,2013,1
2015,8159,1
2020,327,1
2016,2013,1
2019,2679,2
2017,2694,1
2018,2694,1
2015,9361,1
2017,8550,3
2016,1911,5
2016,6225,2
2020,17437,1
2012,1484,2
2015,3478,1
2015,8410,1
2018,7636,1
2016,7622,1
2017,7654,2
2016,7681,1
2020,7676,1
2014,8852,1
2015,8852,3
2020,7717,2
2015,314,2
2019,4444,1
2014,2844,2
2014,4036,1
2012,3279,1
2016,3229,4
2018,5631,1
2019,5631,1
2017,4492,2
2012,3223,2
2018,11292,1
2017,1670,2
2019,27629,1
2019,19395,2
2019,19458,2
2012,4418,1
2017,4418,4
2018,2326,1
2017,2322,1
2015,4802,1
2015,4755,1
2017,5410,1
2019,5410,2
2015,19526,2
2016,19526,2
2018,2580,2
2014,3,2
2012,17093,1
2016,6124,2
2012,18616,1
2015,7284,1
2019,2473,2
2019,3015,1
2016,2506,3
2014,9602,1
2020,9640,1
2016,9665,1
2016,2883,4
2020,2609,1
2016,2900,1
2012,2900,1
2016,4721,1
2020,9563,1
2016,200,2
2016,27064,1
2013,2937,1
2014,5950,1
2019,5950,4
2016,9749,1
2017,9749,3
2015,6464,3
2018,4386,3
2012,1305,1
2017,5954,1
2015,4386,1
2015,9466,3
2020,9466,3
2019,1190,3
2014,9467,2
2015,6902,2
2015,1208,1
2019,5860,5
2012,386,1
2014,386,1
2015,386,1
2019,12258,2
2016,2,1
2012,384,2
2015,384,3
2020,12228,1
2020,12203,1
2019,17767,1
2015,10022,1
2019,25486,2
2018,17299,1
2013,7274,1
2019,434,1
2012,12228,1
2018,7274,3
2018,10012,1
2019,17808,1
2019,2301,1
2016,3871,1
2016,9074,2
2017,4885,1
2012,5050,1
2019,7081,2
2014,2356,1
2020,2358,1
2019,8812,1
2015,2359,4
2016,6221,2
2017,6932,2
2012,2436,1
2014,5321,1
2016,995,1
2015,991,1
2020,991,2
2017,2436,2
2014,5334,1
2018,5307,1
2017,5307,1
2019,5307,2
2013,1222,1
2013,17268,1
2015,17268,1
2020,4602,1
2020,3820,1
2017,3820,1
2015,8221,1
2017,3979,2
2020,10235,2
2020,10051,1
2015,27150,2
2019,16926,1
2012,1218,1
2019,1218,1
2014,1251,1
2013,7818,1
2012,909,1
2018,1215,1
2013,6179,2
2016,635,4
2012,1015,2
2013,1015,3
2015,4818,1
2013,4818,1
2017,9508,3
2017,22796,1
2019,25807,1
2015,4832,1
2018,4831,1
2020,3097,1
2017,3677,1
2020,3677,1
2012,3829,1
2019,3829,1
2017,3846,1
2016,5133,1
2020,18222,2
2012,16603,1
2017,5273,1
2012,1394,1
2015,10858,2
2013,23206,1
2018,1308,1
2020,1314,1
2017,5473,1
2019,21052,3
2019,8249,2
2020,3269,1
2020,11723,3
2017,8082,2
2013,8251,1
2013,7151,2
2014,7151,1
2014,8257,1
2017,8083,1
2014,12089,3
2018,12089,2
2020,23738,1
2019,1822,1
2015,1245,1
2013,10966,2
2018,1,1
2014,2657,1
2016,13136,1
2016,4285,3
2016,5994,2
2020,6057,1
2015,5969,1
2018,5969,2
2012,11038,1
2017,6121,1
2018,4068,2
2017,4092,1
2019,229,1
2018,5184,2
2013,4092,1
2016,10047,1
2012,8699,1
2013,8699,1
2017,1389,1
2015,2907,1
2014,11322,1
2016,1566,1
2019,1567,1
2020,1567,1
2015,5546,1
2018,4425,1
2017,1566,1
2020,19663,2
2016,5515,1
2020,24535,1
2019,23962,1
2019,23774,1
2019,8964,4
2020,4034,4
2016,3955,1
2020,8959,3
2013,5793,2
2014,181,1
2016,5768,1
2018,2914,2
2016,6601,1
2018,6601,2
2017,10164,1
2015,10164,2
2014,6588,1
2020,6904,1
2020,6002,1
2018,6012,1
2019,12328,1
2012,1941,1
2018,2451,1
2014,16188,1
2012,1164,2
2012,16188,1
2020,10161,2
2018,631,1
2019,10212,2
2012,3820,2
2019,3789,2
2018,3815,1
2016,1898,1
2018,11201,1
2019,2573,1
2017,1295,1
2018,2917,2
2020,4858,1
2013,3486,1
2020,3491,1
2013,358,2
2019,2557,1
2012,2567,1
2012,2554,1
2020,2554,1
2012,16137,2
2014,16137,2
2013,1861,3
2014,3407,3
2018,16123,1
2018,23476,1
2015,3169,2
2013,3470,1
2020,7511,1
2018,6469,1
2016,524,1
2017,6511,1
2019,3470,2
2013,3992,1
2019,6499,2
2020,6499,1
2018,294,2
2018,19075,2
2020,10492,1
2020,10499,1
2019,20282,1
2015,4415,1
2019,417,2
2019,6096,4
2017,18777,1
2018,8963,1
2020,16572,3
2014,1442,4
2017,1442,2
2014,8841,1
2015,8841,3
2015,848,1
2018,11790,1
2018,19101,1
2016,19101,1
2014,2118,2
2013,4176,1
2015,3555,1
2013,2216,1
2019,9980,1
2020,19615,1
2016,737,1
2014,27357,1
2014,3277,1
2012,3673,1
2013,3277,2
2014,7438,1
2018,20188,4
2016,7491,2
2016,3034,1
2020,4792,1
2018,3054,1
2017,7465,1
2017,7276,1
2015,9223,2
2016,9223,2
2019,6438,1
2013,1739,1
2020,16744,1
2019,20340,3
2019,412,1
2019,3111,3
2017,NA,2
2018,NA,2
2019,NA,2
2014,6951,2
2019,3209,1
2013,3210,1
2016,3210,2
2018,3151,1
2012,8451,1
2018,3984,1
2019,3984,3
2012,8469,1
2018,8469,1
2013,9021,3
2019,22636,2
2016,3150,1
2012,3176,1
2018,3150,1
2018,28163,1
2018,1522,1
2017,11463,1
2020,171,1
2014,2580,1
2019,16705,2
2019,2580,1
2019,1593,1
2018,4745,1
2012,1899,2
2016,1593,1
2013,1255,1
2013,1199,1
2020,5556,1
2019,5556,1
2016,121,2
2016,9280,5
2018,7249,1
2016,9271,2
2012,1564,2
2014,533,1
2020,7584,1
2013,3249,1
2017,7802,1
2015,3322,1
2012,16245,1
2016,14878,1
2015,2706,1
2017,6578,1
2017,1253,1
2017,4840,2
2020,6689,1
2017,6221,2
2014,2638,2
2018,2638,2
2014,5351,1
2016,8732,1
2014,2017,2
2018,2017,2
2015,5739,2
2014,3008,1
2019,2997,1
2018,16727,2
2016,16727,1
2019,10939,1
2019,10930,1
2016,22613,1
2014,8421,1
2015,3656,3
2016,8460,1
2016,349,2
2016,336,1
2016,23065,1
2018,9300,2
2020,7730,1
2017,4870,2
2012,4570,1
2020,4570,1
2014,1264,1
2018,14744,1
2020,14664,1
2017,1264,1
2020,1603,1
2019,19487,1
2012,1347,1
2017,5328,1
2015,5263,1
2013,1858,2
2015,1858,2
2019,7993,4
2019,6171,1
2012,4046,1
2014,4070,1
2019,4070,2
2020,6048,2
2018,6678,1
2020,5968,1
2019,10394,2
2017,3456,1
2019,3456,1
2017,2208,1
2017,28464,1
2015,10293,1
2012,3542,1
2018,575,1
2019,575,2
2018,10296,1
2018,5117,2
2018,3614,1
2017,5137,1
2014,1368,1
2012,265,2
2012,23443,1
2013,23443,1
2018,10894,1
2017,2492,1
2015,3461,1
2020,10762,2
2020,3480,1
2015,271,1
2012,71,2
2018,71,1
2020,20155,2
2019,8900,2
2020,895,1
2013,2694,5
2020,17323,1
2013,19169,1
2014,1453,1
2014,3478,1
2019,2182,1
2020,19173,1
2017,7622,2
2016,7654,2
2015,5574,1
2016,5574,1
2016,735,2
2019,8586,1
2018,7815,3
2013,7815,1
2018,18401,1
2013,18401,1
2020,7654,1
2012,9411,1
2017,8462,1
2019,9167,1
2014,3381,1
2020,6251,3
2015,2805,1
2015,4036,1
2015,3229,2
2019,1727,1
2018,4492,2
2017,1949,1
2020,27221,1
2018,27961,1
2018,1936,2
2020,4418,1
2014,2326,1
2018,2322,1
2018,12723,1
2019,11943,1
2015,21027,1
2019,1317,2
2014,3356,2
2020,6097,3
2020,2440,1
2020,2473,1
2019,9637,1
2019,2904,1
2019,9694,1
2012,2987,3
2020,10966,3
2017,1073,2
2015,2937,1
2015,1762,1
2015,6225,2
2018,2273,1
2019,2062,4
2012,4873,1
2012,9749,1
2019,9763,1
2020,6098,1
2019,4873,1
2017,6330,1
2020,11812,1
2016,1305,2
2017,1188,3
2012,1190,1
2016,1190,2
2017,1190,3
2017,4316,1
2019,5752,1
2019,386,1
2019,12228,1
2020,17868,1
2017,24748,1
2018,24748,1
2019,17540,1
2018,15129,1
2020,10019,4
2012,17808,2
2013,17808,1
2018,2301,1
2017,3871,1
2020,9074,1
2014,3552,1
2014,3566,1
2016,3566,1
2016,3523,1
2018,3566,3
2014,18112,1
2016,2359,4
2017,5830,1
2015,2396,1
2012,2397,2
2015,2397,1
2015,2436,1
2015,5351,1
2020,5351,3
2016,2397,1
2017,2397,1
2015,18532,1
2020,7634,1
2019,9884,1
2016,3407,1
2012,3408,1
2019,16903,1
2019,9809,1
2019,4711,1
2017,1235,2
2017,20179,1
2019,16099,2
2017,11995,1
2018,437,2
2019,437,1
2018,10232,1
2018,23846,2
2017,2887,1
2016,25473,1
2019,4264,1
2017,10298,2
2019,10298,1
2015,1214,1
2019,1220,3
2019,8037,1
2019,7818,1
2019,9621,1
2017,908,1
2016,7798,1
2020,7798,1
2018,1220,1
2017,1250,1
2016,6206,2
2020,6206,2
2013,6250,1
2018,5966,1
2012,2895,1
2015,2863,5
2012,635,2
2014,1154,1
2014,5403,1
2014,3691,2
2018,1015,1
2016,4818,2
2015,9508,1
2012,4831,1
2015,17,1
2017,28478,1
2013,3680,1
2019,1150,1
2017,18083,1
2017,861,2
2013,3064,1
2016,1409,1
2020,3847,1
2018,18012,1
2012,18225,1
2020,18401,1
2015,1783,1
2016,1783,1
2020,18244,1
2019,10854,1
2012,1973,2
2014,7604,1
2018,10858,3
2017,10859,1
2020,10851,1
2017,10847,1
2015,10833,1
2017,5438,1
2015,5438,1
2014,378,1
2014,21052,1
2014,5433,1
2012,5452,2
2014,3111,2
2015,3111,3
2020,3146,3
2019,3269,1
2016,2811,1
2015,8082,1
2012,3280,2
2014,3280,2
2015,3280,1
2020,8251,1
2019,12131,1
2014,1245,1
2018,12114,1
2019,3786,1
2012,6057,1
2017,6139,1
2018,6057,1
2020,4068,1
2016,4077,1
2016,4092,1
2016,5184,1
2012,8662,2
2020,10825,1
2016,10083,1
2016,1565,2
2017,4425,1
2014,10697,1
2017,1568,1
2017,1571,1
2019,27044,1
2017,10706,1
2018,7072,1
2015,2084,2
2016,4034,2
2014,3990,1
2017,223,1
2016,6872,1
2014,5793,1
2018,6721,1
2013,2914,1
2016,4242,1
2014,24531,1
2012,11652,1
2015,1429,1
2020,4708,1
2017,630,1
2018,3840,1
2017,16128,1
2015,11812,1
2014,2917,1
2013,866,1
2013,18712,4
2014,3486,3
2018,3887,1
2013,2558,2
2019,390,1
2016,2927,1
2019,3491,1
2019,6230,1
2018,2924,1
2017,1212,2
2019,2924,1
2016,16137,1
2019,1871,1
2020,22599,1
2020,524,1
2016,5463,1
2017,2029,1
2016,6511,1
2017,4256,1
2017,5523,1
2014,6456,1
2017,6579,1
2016,3166,1
2020,24750,1
2019,10489,2
2012,5187,1
2016,6082,3
2017,4047,1
2016,11801,1
2018,4230,1
2012,848,2
2014,4297,1
2012,8933,1
2020,4185,1
2014,25112,1
2020,2118,2
2019,5239,2
2017,3403,1
2016,2224,1
2015,2224,1
2015,737,1
2017,21052,2
2014,187,2
2017,3294,1
2019,147,1
2013,3673,1
2017,3277,1
2014,3288,1
2014,8312,1
2017,3053,1
2012,3842,1
2013,1928,2
2017,1928,1
2016,4792,1
2019,4792,1
2015,7276,1
2015,17910,1
2013,3052,1
2014,20188,1
2013,7412,1
2019,971,1
2016,6146,1
2018,6146,1
2016,5043,1
2016,1739,1
2018,5642,1
2017,17854,1
2018,165,1
2016,4268,1
2020,6964,1
2014,4948,1
2015,911,1
2019,3150,1
2017,171,1
2020,16605,1
2015,11490,1
2015,18755,1
2018,6225,1
2016,1899,1
2019,9292,1
2017,825,1
2014,9286,1
2019,9283,2
2018,533,1
2013,3904,1
2014,102,1
2014,3322,1
2019,9568,1
2018,11101,1
2019,11101,1
2019,11140,1
2020,334,1
2019,2706,1
2020,11538,1
2019,11530,1
2018,11060,1
2018,11145,1
2013,24668,1
2019,6675,1
2017,3819,1
2015,1253,2
2019,1253,1
2016,1253,1
2020,4844,1
2019,4840,1
2018,6609,1
2020,2524,1
2020,21850,1
2014,18616,1
2015,18616,2
2012,1913,3
2020,2954,1
2015,2632,1
2019,2638,2
2015,352,1
2017,2613,1
2015,2998,1
2018,10939,1
2015,3641,1
2013,3008,1
2015,996,1
2013,22877,1
2013,7742,1
2013,3964,1
2020,23172,1
2018,336,1
2019,335,1
2015,9300,1
2012,4165,1
2014,17149,1
2019,1603,1
2016,1347,2
2013,2297,1
2019,18684,1
2019,5262,1
2017,1861,1
2016,7620,3
2020,7659,1
2017,6743,1
2018,6743,2
2015,17358,2
2016,17358,1
2016,6678,2
2018,4046,1
2015,5968,1
2018,3442,1
2020,21595,1
2015,28464,1
2017,2901,1
2013,21493,1
2015,3785,2
2016,10825,1
2017,1362,1
2019,18618,1
2013,2017,1
2013,8597,1
2018,10762,3
2017,1149,1
2013,861,1
2015,2016,1
2019,20093,1
2019,23092,1
2014,8550,2
2017,1911,1
2013,1453,1
2019,7622,1
2017,8852,2
2020,8540,1
2020,7815,1
2015,7815,1
2014,4433,1
2019,122,1
2015,3381,1
2016,3381,1
2019,9163,1
2017,4486,1
2015,4539,1
2019,6251,2
2020,23110,1
2013,2844,2
2014,3279,1
2014,3229,1
2020,3229,1
2015,3246,2
2012,4499,1
2016,4512,1
2013,3223,2
2018,19251,1
2014,1948,1
2012,5581,1
2014,17071,1
2016,2326,1
2013,4419,1
2012,4003,1
2013,4003,1
2019,10974,1
2019,11006,1
2015,12723,1
2014,22149,2
2016,165,1
2015,3,1
2014,5406,1
2019,21041,1
2012,6048,1
2013,16399,2
2018,3320,1
2018,17418,3
2014,2506,1
2012,7492,1
2016,9637,1
2017,2863,2
2020,2863,1
2016,2440,1
2017,2883,2
2020,9719,1
2015,1073,1
2018,18723,1
2015,27064,1
2012,3168,1
2015,2367,1
2020,2367,1
2012,6225,1
2015,5976,1
2014,1187,1
2018,21814,2
2018,6890,1
2019,6890,4
2020,1187,1
2018,9466,3
2020,6845,1
2019,5716,1
2020,25486,1
2018,16071,1
2015,7274,1
2020,15129,1
2020,2301,1
2018,2389,1
2017,5036,1
2012,3612,1
2014,4996,1
2017,3566,1
2017,3523,1
2015,11279,1
2020,18170,1
2015,2356,2
2013,9090,1
2013,109,1
2020,2349,1
2020,7051,1
2020,7202,1
2018,19159,1
2020,18080,1
2019,10538,2
2018,6932,1
2019,5830,1
2019,2397,1
2017,2426,1
2012,2428,1
2013,5334,1
2016,17807,1
2019,9889,1
2014,2343,1
2020,17268,1
2018,4711,1
2017,1230,1
2015,11995,1
2018,8176,1
2019,8209,1
2015,10270,1
2020,27150,1
2019,17106,1
2019,6049,2
2017,10232,1
2018,10298,1
2020,11996,1
2012,1214,1
2020,25604,1
2017,7132,1
2017,18712,2
2016,682,1
2019,7838,1
2016,908,1
2014,909,1
2016,909,1
2014,7972,1
2017,1215,1
2020,6946,1
2015,6179,1
2015,6250,1
2014,5784,2
2018,27475,1
2019,1160,1
2012,5855,1
2020,5366,1
2013,635,2
2019,5355,1
2013,1154,1
2015,3692,1
2020,1012,1
2016,4831,1
2016,3097,1
2013,3829,1
2012,3845,1
2017,21822,1
2019,18012,1
2015,18225,1
2020,10858,1
2019,10859,1
2012,1987,2
2015,9895,1
2019,1308,1
2013,3111,2
2020,8278,1
2017,6218,1
2019,8102,1
2012,8257,2
2012,1843,1
2020,2643,1
2016,6057,1
2014,5184,1
2016,4387,1
2018,4375,1
2019,4375,1
2019,8662,1
2020,8662,1
2016,8699,1
2016,4223,1
2017,4223,1
2019,5546,1
2016,5612,1
2018,1565,1
2018,24522,1
2020,8990,2
2015,4215,1
2020,4242,1
2018,4247,1
2015,7295,1
2012,1112,1
2015,1164,1
2017,1164,1
2013,8229,1
2018,10132,1
2018,10212,1
2013,1898,1
2015,4571,1
2018,9468,1
2012,4571,1
2018,1898,1
2017,3787,1
2017,9895,1
2019,9895,1
2017,1297,1
2012,866,1
2018,2470,1
2014,1211,2
2020,21219,1
2020,21352,1
2018,21487,1
2020,2920,1
2016,2674,1
2017,299,1
2018,27791,1
2017,2669,1
2019,2669,1
2020,2669,1
2014,1871,1
2018,1861,1
2020,22621,1
2012,6579,1
2019,6469,2
2019,3992,1
2016,2029,2
2020,3992,1
2018,26849,1
2013,10762,1
2014,350,1
2013,330,3
2018,330,1
2018,4021,1
2013,8841,1
2012,25112,1
2013,2118,2
2018,3555,1
2017,3555,1
2012,1063,1
2014,9499,1
2012,9492,1
2015,7294,1
2014,3673,1
2019,3303,1
2020,3349,1
2019,3319,1
2020,17962,1
2017,7443,1
2019,7443,1
2018,2137,1
2018,3037,1
2018,9021,1
2017,9010,1
2019,1739,1
2015,412,1
2013,6951,2
2015,5496,1
2013,3215,1
2018,914,1
2019,914,1
2015,24700,1
2013,8908,1
2015,22636,1
2014,3176,2
2020,11463,1
2017,2580,1
2012,993,1
2015,14441,1
2015,7257,1
2017,9236,1
2013,4631,1
2018,4688,1
2020,5089,1
2016,9266,1
2014,3906,1
2014,1564,1
2018,1564,1
2014,3904,1
2020,3249,1
2018,7770,1
2020,7446,1
2017,1644,1
2018,16240,1
2012,2708,1
2015,8939,1
2018,334,1
2017,14905,1
2017,19395,1
2019,11938,1
2015,6654,1
2016,6689,3
2014,1253,1
2019,4844,1
2019,3846,1
2017,2524,1
2013,4442,1
2017,4388,1
2013,2638,1
2016,3613,1
2012,2613,1
2020,10939,1
2017,5739,1
2020,15940,1
2014,8127,1
2020,349,1
2018,4381,1
2019,16018,1
2017,7732,1
2014,4870,1
2014,4570,1
2019,4570,1
2014,2957,1
2018,200,1
2019,9951,1
2015,9394,1
2012,5727,1
2013,5288,1
2016,2483,1
2014,6788,1
2013,4070,1
2012,7609,1
2017,28283,1
2014,5968,1
2013,10411,1
2015,3456,1
2020,3425,1
2020,3424,1
2015,3542,1
2020,10295,1
2019,10343,1
2018,5137,1
2018,25385,1
2020,23443,1
2020,1036,2
2017,4851,1
2015,8567,1
2019,5260,1
2012,2165,1
2020,20427,1
2019,327,1
2019,2013,1
2017,8629,1
2012,19169,2
2020,5574,1
2013,735,1
2015,735,1
2018,1355,1
2015,18401,1
2013,7696,2
2016,7810,1
2014,9411,1
2019,9411,1
2016,5083,1
2015,4486,1
2013,6535,1
2013,3999,1
2012,3229,1
2017,3246,1
2019,5610,1
2020,27629,1
2017,27961,1
2012,27357,1
2013,3933,1
2014,3933,1
2020,21863,1
2020,22401,1
2013,4498,1
2014,2322,1
2019,2322,1
2016,23621,1
2014,6048,1
2012,23206,1
2013,7349,1
2012,4381,1
2017,18223,1
2020,6075,2
2012,3356,1
2014,7508,1
2012,2506,1
2020,3032,1
2013,7492,1
2020,9596,1
2015,9637,1
2015,12278,1
2019,2475,1
2020,9618,1
2017,2904,1
2013,4690,1
2012,4721,1
2017,4721,1
2016,9735,1
2012,6890,1
2020,8516,1
2017,9754,1
2018,5976,1
2020,6225,2
2018,5954,1
2014,5258,1
2020,1190,1
2020,12278,1
2020,5752,1
2014,5718,1
2017,386,2
2020,12225,1
2019,25938,1
2015,2301,1
2020,6391,1
2014,17814,1
2016,2301,1
2020,25807,1
2014,7717,1
2013,3552,1
2012,2356,1
2019,2356,1
2019,2358,1
2016,109,1
2016,1619,1
2019,2350,1
2018,2356,1
2019,9090,1
2012,995,1
2013,2436,1
2018,5308,1
2019,9887,1
2020,9887,1
2020,2443,1
2019,1758,1
2017,9293,1
2015,4602,1
2016,4602,1
2012,1595,1
2014,1595,1
2014,11983,1
2019,23846,1
2015,8163,1
2017,27150,1
2019,27150,1
2020,10226,1
2020,8118,1
2020,1220,1
2013,1251,1
2015,1251,1
2019,7036,1
2018,9415,2
2013,5195,1
2018,5195,1
2016,1826,1
2016,5765,1
2019,3570,1
2014,4832,1
2015,28478,1
2016,1012,1
2016,10974,1
2014,3683,1
2014,3711,1
2014,3733,1
2012,3846,1
2016,4672,2
2016,1894,1
2020,18111,1
2018,1983,1
2012,11752,1
2012,10858,2
2016,8044,1
2015,1308,1
2019,1312,1
2018,8067,1
2018,6218,2
2019,11706,1
2013,8082,1
2019,11752,1
